en,zh-tw,zh-cn,zh-hk,", 'zh-cn",zh-mo,zh-my,zh-sg
AI,人工智慧,人工智能,人工智能,,,,人工智慧
access,存取,访问,存取,,存取,,
access control list,存取控制列表,访问控制表,,,,访问控制表,访问控制表
access Multiplexer,接取多工器,接入复用器,,,,,
access Point,存取點,接入点,,,,,
account,帳戶,账户,賬戶,,,,
activation,啟用,激活,,,,,
activation function,啟用功能,激活函数,,,,,
adapter,配接器,适配器,,,,,
add-on,附加元件,附加组件,,,,,
address,位址,地址,地址,,,,
address bar,網址列,地址栏,地址列,,,,
addressing,定址,寻址,定址,,,,
addressing modes,定址模式,寻址模式,定址模式,,,,
advanced,進階,高级,,,,,
advertising area,廣告區,广告位,,,,,
agent-oriented programming,代理人導向程式設計,面向代理编程,,,,,
album (online),相簿,相册,,,,,
algorithm,演算法,算法,,,,,
allocation unit,單位配置,分配单元,,,,,
analog,類比,模拟,模擬,,,,
analog broadcasting,類比廣播,模拟广播,模擬廣播,,,,
analog television,類比電視,模拟电视,模擬電視,,,,
antivirus,防毒,杀毒,,,,,
AOL,美國線上,美国在线,,,,,
application,應用程式,应用程序,,,,,
application programming interface,應用程式介面,应用程序接口,,,,,
archive,壓縮檔,压缩包,,,,,
array (RAID),陣列硬碟,阵列硬盘,,,,,阵列伺服器
array,陣列,数组,,,,,
assembler,組譯,汇编,,,,,
Assembly language,組合語言,汇编语言,匯編語言,,,,
assembly mnemonic,輔助記憶碼,助记符,,,,,
assignment operator,設定運算子,赋值运算符,設定運算子,,設定運算子,,
asynchrony,非同步,异步,非同步,,非同步,,
average bitrate,平均位元速率,平均码率,,,,,
audio,音訊,音频,音頻,,,,
audio track,音訊軌,音频轨,音頻軌,,,,
audio input,音訊輸入,音频输入,音頻輸入,,,,
audio output,音訊輸出,音频输出,音頻輸出,,,,
audio file,音訊檔,音频档,音頻檔,,,,
audio profiles,音訊設定檔,情景模式,,,,,
audit,稽核,审核,,,,,
augmented reality,擴增實境,增强现实,擴張實境,,,,
back chaining,反鏈結,反链接,,,,,
background traffic,背景流量,后台流量,,,,,
backward compatible,向下相容,,向下相容,,向下相容,,
bad sector,壞軌,坏道,,,,,
band width,頻寬,带宽,,,,,
base class,基礎類別,基类,,,,,
base name,主檔名,文件主名,,,,,
base type,基本類型,基类型,,,,,
baseband,基頻,基带,基帶,,,,
batch,批次處理,批处理,,,,,
batch file,批次檔,批处理文件,,,,,
batch programs,批次程式,批处理程序,,,,,
Berkeley Software Distribution,柏克萊軟體套件,伯克利软件套件,柏克萊軟件套件,,,,
big data,巨量資料,大数据,大數據,,,,
Bill Gates,蓋茲,盖茨,蓋茨,,,,
binary,二元,,二元,,二元,,
binary function,二元函數,双参函数,,,,,
binary heap,二元堆積,二叉堆,二叉堆積,,,,
binary linked list,二元連結串列,二叉链表,二元連結串列,,二元連結串列,,
binary search tree,二元搜尋樹,二叉搜索树,二叉搜尋樹,,二叉搜尋樹,,
binary tree,二元樹,二叉树,二叉樹,,,,
binding,繫結,绑定,,,,,
bit,位元,比特,位元,,位元,位元,位元
bit (4-bit),4位元,4位,,,,,
bit (8-bit),8位元,8位,,,,,
bit (12-bit),12位元,12位,,,,,
bit (16-bit),16位元,16位,,,,,
bit (18-bit),18位元,18位,,,,,
bit (24-bit),24位元,24位,,,,,
bit (31-bit),31位元,31位,,,,,
bit (32-bit),32位元,32位,,,,,
bit (36-bit),36位元,36位,,,,,
bit (48-bit),48位元,48位,,,,,
bit (60-bit),60位元,60位,,,,,
bit (64-bit),64位元,64位,,,,,
bit (80-bit),80位元,80位,,,,,
bit (128-bit),128位元,128位,,,,,
bit error rate,位元錯誤率,比特误码率,位元錯誤率,,位元錯誤率,,
bit field,位元欄,位段,,,,,
bit pattern,位元型樣,位模式,,,,位模式,位模式
bit string,位元串,位串,,,,,
Bitmap,點陣圖,位图,,,,,
bitrate,位元速率,比特率,位元速率,,位元速率,,
bitwise,按位元,按位,,,,,
bitwise operation,位元運算,位操作,位元運算,,位元運算,位操作,位操作
black box testing,黑箱測試,黑盒测试,,,,,
Blade Server,刀鋒伺服器,刀片服务器,,,,,
blank screen,黑畫面,黑屏,,,,,
block,完全屏蔽,完全屏蔽,,,,,
block (Unicode),,区块,,,,区块,区块
block chaining,區塊鏈結,区块链接,,,,,
block cipher,區塊加密法,分组密码,,,,,
block diagram,方塊圖,框图,,,,,
blog,部落格,博客,網誌,,,,部落格
Blue Screen of Death,藍白當機,蓝屏死机,藍畫面死機,,,,
boot,啟動,引导,開機,,,,
boot disk,啟動磁碟,启动盘,,,,,
boot loader,啟動載入程式,启动引导程序,,,,,
bottom-up,由下而上,自底向上,,,,,
Boyce-Codd normal form,BC正規形式,BC范式,,,,,
brain-machine interface,人機介面,脑机接口,,,,,
Broadband,寬頻,宽带,,,,,
Bubble sort,泡沫排序,冒泡排序,,,,,
buffer,緩衝區,缓冲器,,,,,
buffer overflow,緩衝區溢位,缓存溢出,,,,,
bug,錯誤,,錯誤,,錯誤,,
build-in,內建,内置,,,,,
Built-in,內建,,內建,,內建,,
burn,燒錄,刻录,,,,,
Business Model,商業模式,商业模型,,,,,
Bus,匯流排,总线,匯流排,,,,
byte,位元組,字节,位元組,,位元組,,
boolean,布林,布尔,,,,,
boolean algebra,布林運算,布尔逻辑,,,,,
Boot Camp,啟動切換,启动转换,開機切換,,,,
cache,快取,缓存,快取,,,,
cache memory,高速緩衝記憶體,高速缓冲存储器,高速緩衝記憶體,,高速緩衝記憶體,,
cached webpage,頁庫存檔,网页快照,,,,,
calculator,計算機,计算器,計數機,,計數機,,
calendar,,日历,,,,日历,日历
calendar program,行事曆程式,日历程序,,,,,
call,呼叫,调用,,,,,
Call Level Interface (CLI),呼叫層級介面,调用层接口,,,,,
callback,回呼,回调,,,,,
camcorder,攝錄影機,摄像机,攝像放像機,,,,
camera phone,照相手機,照相手机,相機手機,,,,
campus network,校園網路,校园网,校園網絡,,校園網絡,,
capture,擷取,,擷取,,擷取,,
card reader,讀卡機,读卡器,讀卡器,,,,
carriage return character,回車字元,回车符,,,,,
CDN,內容傳遞網路,内容分发网络,,,,,
Cell,儲存格,单元格,,,,,
Cellular data,蜂巢式資料,蜂窝数据,蜂巢式數據,,,,
Cellular network,蜂巢式網路,蜂窝网络,蜂巢式網絡,,,,
certificate,憑證,证书,證書,,,,
chain,,链,,,,链,链
chaining,,链接,,,,链接,链接
chaining backward,鏈結反向,链接反向,,,,,
chaining forward,鏈結正向,链接正向,,,,,
chaining of commands,命令鏈結,命令链接,,,,,
chaining search,鏈結搜尋,链接搜索,,,,,
channel,管道,,,,,,
character,字元,字符,,,,,
character generator,字元產生器,字符生成器,,,,,
character printer,字元列印機,字符打印机,,,,,
check bit,核對位元,检验位,,,,,
check button,核取按鈕,复选按钮,,,,,
checkbox,核取方塊,复选框,,,,,
checksum,核對和,检验和,,,,,
Chief Executive Officer (CEO),執行長,首席执行官,行政總裁,,,,
Chief Information Officer (CIO),資訊長,首席信息官,資訊總監,,,,
Chief Operating Officer (COO),營運長,首席运营官,營運總監,,,,
Chief Technology Officer (CTO),技術長,首席技术官,,,,,
child class,,子类,,,,子类,子类
chip,晶片,芯片,,,,,
class constructor,類別的建構函數,类的构造函数,,,,类的构造函数,类的构造函数
class declaration,類別宣告,类声明,,,,,
class definition,類別定義,类定义,,,,,
class destructor,類別的破壞函數,类的析构函数,,,,类的析构函数,类的析构函数
class instance,類別實例,类实例,,,,,
class library,類別館,类库,,,,,
class member,類別成員,类成员,,,,,
class method,類別方法,类方法,,,,,
class of C++,C++的類別,C++的类,,,,,
class of Java,Java的類別,Java的类,,,,,
class template,類別模板,类模板,,,,,
class variable,類別變數,类变量,,,,,
class-based,類別為基,基于类,,,,,
class-based programming,類別為基的程式設計,基于类的编程,,,,,
class-orientation,類別導向,面向类,,,,,
classloader,類別載入器,类加载器,,,,,
client,,客户端,,,,客户端,客户端
clipboard,剪貼簿,剪贴板,,,,,
clock rate,時脈速率,时钟频率,,,,时钟频率,时钟频率
cloud computing,雲端運算,云计算,,,,,
cloud computing storage,雲端儲存,云存储,,,,,
cluster,叢集,聚类,,,,聚类,聚类
code,,代码,,,,代码,代码
code generator,碼產生器,代码生成器,,,,,
code page,頁碼,,頁碼,,頁碼,,
collaboration,協同運作,协作,,,,,
color monitor,彩色螢幕,,彩色熒幕,,彩色熒幕,,
combobox,組合方塊,组合框,,,,,
command line,,命令行,,,,命令行,命令行
communication,,通信,,,,通信,通信
Communicating sequential processes,交談循序程式,通信顺序进程,,,,,
community,社群,社区,,,,,
compact disc,光碟,光盘,,,,光盘,光盘
Compact Disc Driver,光碟機,光盘驱动器,,,,,
compatible,相容,兼容,相容,,相容,,
complement,,补码,補碼,,補碼,补码,补码
complexity class,複雜度類別,复杂度类,,,,,
component,,组件,,,,组件,组件
computer,電腦,电子计算机,電腦,,電腦,电脑,电脑
computer architecture,電腦架構,计算机体系结构,,,,,
computer programming,程式設計,程序设计,,,,,
computer science,電腦科學,计算机科学,,,,,电脑科学
computer terminal,,终端,,,,终端,终端
concurrency,並行,并发,,,,,
concurrent computing,並行計算,并发计算,,,,,
concurrency-oriented,平行導向,面向并发,,,,,
configure/configuration,組態,配置,,,,,
configuration files,組態檔,配置文件,,,,,
constant,常數,常量,,,,,
constant bitrate,固定位元速率,固定码率,,,,,
constructor,建構函式,构造函数,,,,构造函数,构造函数
contact,聯絡人,联系人,,,,联络,联系
content-addressable memory,可定址內容記憶體,结合存储,,,,,
context switch,上下文交換,上下文切换,,,,,
Continuity,接續互通,连续互通,,,,,
control,控制項,控件,,,,,
convert,,转换,,,,转换,转换
copper clad laminate,銅箔基板,覆铜板,,,,,
copyright,著作權,著作权,版權,,著作權,著作权,著作权
copyright information,著作權資訊,著作权信息,,,著作權資訊,著作权信息,著作权信息
cost-effective,CP值,性价比,性價比,,,,
cracker,劊客,溃客,潰客,,,,
crash,當機,死机,,,,,
create,建立,创建,建立,,建立,,
CRT,映像管,显像管,顯像管,,,,
current version,目前版本,当前版本,,,,,
cursor,游標,光标,,,,,
custom,自訂,自定义,自訂,,自訂,,
customization,客製化,定制,,,,,
cut,剪下,剪切,,,,,
cyberbullying,網路霸凌,网络欺凌,網上欺凌,,,,
daemon,守護行程,守护进程,,,,,
daisy chaining,菊式鏈結,菊花链接,,,,,
data,資料,,數據,,,,
database,資料庫,数据库,數據庫,,,,
data center,資料中心,数据中心,,,,,
data chaining,資料鏈結,数据链接,,,,,
data cleansing,資料淨化,数据清洗,,,,,
data dredging,資料挖掘,数据捕捞,數據捕撈,,,,
data execution protection,系統記憶體保護,数据执行保护,數據執行保護,,,,
data frame,資料框,数据帧,數據幀,,,,
data mart,資料市集,数据集市,數據市集,,,,
data mining,資料探勘,数据挖掘,數據探勘,,,,
data packet,封包,数据包,,,,数据包,数据包
data source,資料來源,数据源,數據源,,,,
data warehouse,資料倉儲,数据仓库,數據倉庫,,,,
datagram,資料報,数据报文,,,,,
deadlock,死結,死锁,,,,,
debug,除錯,调试,除錯,,除錯,调试,调试
declaration,宣告,,宣告,,宣告,,
decode,解碼,,,,,,
default,預設,默认,預設,,預設,,
definition,解析度,,,,,,
defragmentation program,磁碟重組工具,磁盘碎片整理程序,,,,,
defragmentation,磁碟重組,磁盘碎片整理,,,,,
denial-of-service (DoS),阻斷服務,拒绝服务,,,,,
denormalization,解除規格化,反规范化,,,,,
dependent type,依存型別,依存类型,,,,,
derivation list,衍化列,继承列表,,,,,
derive,衍生,派生,,,,,
derived class,衍生類別,派生类,,,,,
derived type,衍生類型,派生类型,,,,,
desktop,桌上型,桌面型,,,,,
desktop computer,桌上型電腦,台式机,桌上電腦,,桌上電腦,台式机,台式机
desktop version,電腦版,,電腦版,,電腦版,,
destruct,解構,析构,,,,,
destructor,解構函式,析构函数,,,,析构函数,析构函数
device,裝置,设备,裝置,,裝置,设备,设备
dialog box,對話方塊,对话框,,,,,
digital,數位化,数字化,數碼化,,數碼,数码化,数字
digitalisation,數位化,数字化,數碼化,,,,
digital asset,數位資產,数字资产,數碼資產,,,,
digital broadcasting,數位廣播,数字广播,數碼廣播,,,,
digital camera,數位相機,数字相机,數碼相機,,,数码相机,
digital certificates,數位憑證,数字证书,數碼證書,,,,
digital distribution,數位發行,数字发行,數碼發行,,,,
digital identity,數位身分,数字身份,數碼身份,,,,
digital mapping,數位製圖,数字测图,數碼製圖,,,,
digital mobile,數位行動,数字移动,數碼流動,,,,
digital mode,數位模式,数字模式,數碼模式,,,,
digital photo,數位相片,数字照片,數碼相片,,,,
digital right,數位版權,数字版权,數碼版權,,,,
digital signature,數位簽章,数字签名,數碼簽章,,,,
digital television,數位電視,数字电视,數碼電視,,,,
digital terrestrial television,數位無線電視,数字地面电视,數碼地面電視,,,,
digital video,監視,监控,監視,,視像,视频,视频
digital watermarking,數位浮水印,数字水印,數碼水印,,,,
disk,磁碟,磁盘,,,,,
display device,顯示器,,顯示器,,顯示器,,
distributed,分散式,分布式,,,,,
document,文件,,文件,,文件,,
document file,文件檔案,文档文件,,,,文档文件,文档文件
document-oriented,文件導向,面向文档,,,,,
document object model (DOM),文件物件模型,文档对象模型,,,,,
do Not Track,停止追蹤,请勿追踪,,,,,
domain-key normal form,DK規格化,DK范式,,,,,
drive,磁碟機,磁盘驱动器,,,,,
drive - A drive,本機磁碟(A),A盘,A磁碟機,,,,
drive - B drive,本機磁碟(B),B盘,B磁碟機,,,,
drive - C drive,本機磁碟(C),C盘,C磁碟機,,,,
drive - D drive,本機磁碟(D),D盘,D磁碟機,,,,
drive - E drive,本機磁碟(E),E盘,E磁碟機,,,,
drive - F drive,本機磁碟(F),F盘,F磁碟機,,,,
drive - G drive,本機磁碟(G),G盘,G磁碟機,,,,
drive - H drive,本機磁碟(H),H盘,H磁碟機,,,,
drive - I drive,本機磁碟(I),I盘,I磁碟機,,,,
drive - J drive,本機磁碟(J),J盘,J磁碟機,,,,
drive - K drive,本機磁碟(K),K盘,K磁碟機,,,,
drive - L drive,本機磁碟(L),L盘,L磁碟機,,,,
drive - M drive,本機磁碟(M),M盘,M磁碟機,,,,
drive - N drive,本機磁碟(N),N盘,N磁碟機,,,,
drive - O drive,本機磁碟(O),O盘,O磁碟機,,,,
drive - P drive,本機磁碟(P),P盘,P磁碟機,,,,
drive - Q drive,本機磁碟(Q),Q盘,Q磁碟機,,,,
drive - R drive,本機磁碟(R),R盘,R磁碟機,,,,
drive - S drive,本機磁碟(S),S盘,S磁碟機,,,,
drive - T drive,本機磁碟(T),T盘,T磁碟機,,,,
drive - U drive,USB磁碟機,U盘,U磁碟機,,U磁碟機,U盘,U盘
drive - V drive,本機磁碟(V),V盘,V磁碟機,,,,
drive - W drive,本機磁碟(W),W盘,W磁碟機,,,,
drive - X drive,本機磁碟(X),X盘,X磁碟機,,,,
drive - Y drive,本機磁碟(Y),Y盘,Y磁碟機,,,,
drive - Z drive,本機磁碟(Z),Z盘,Z磁碟機,,,,
drive - system drive,系統磁碟,系统盘,系統磁碟機,,,,
drive letter,磁碟機代號,盘符,,,,,
driver,驅動程式,驱动程序,,,,,
drop-down menu,下拉式選單,下拉菜单,,,,,
Dual-link,雙連結,双通道,,,,,
duck typing,鴨子型別,鸭子类型,,,,,
dynamic binding,動態繫結,动态绑定,,,,,
dynamic typing,動態型別,动态类型,,,,,
digital media,數位媒體,数字媒体,數碼媒體,,,,
edit bar,編輯列,编辑栏,,,,,
email,電子郵件,电子邮件,,,,电邮,电邮
email (mailbox),電子信箱,邮箱,郵箱,,,,
enclosed,圍繞,,圍繞,,圍繞,,
enclosed character,圍繞字元,带圈字符,,,,,
end user,終端使用者,最终用户,,,,,
end-user license agreements,終端使用者授權協定,最终用户许可协议,,,,,
enter,Enter,,Enter,,Enter,,
enter key,確認鍵,回车键,確認鍵,,確認鍵,回车键,回车键
enumeration,列舉,枚举,,,,,
enumerators,列舉元,枚举成员,,,,,
escape,跳脫,转义,,,,,
Ethernet,乙太網路,以太网,,,,,
EULA,終端使用者授權合約,最终用户许可协议,,,,,
Exabyte,艾位元組,艾字节,,,,,
exception handling,例外處理,异常处理,,,,,
exclusive or,互斥或,异或,異或,,,,
executable file,可執行檔,可执行文件,,,,可执行文件,可执行文件
exit/quit application,結束應用程式,退出应用程序,結束應用程序,,,,
expand,擴充,扩展,,,,,
export,匯出,导出,,,,,
expression,,表达式,,,,表达式,表达式
extended block,擴充區,扩展区,擴充區,,擴充區,扩展区,扩展区
extended Chinese character,擴充漢字,扩展汉字,擴充漢字,,擴充漢字,扩展汉字,扩展汉字
extensible,可延伸,可扩展,,,,,
extensible business reporting language,可延伸商用報告語言,可扩展商业报告语言,,,,,
extensible firmware interface,可延伸韌體介面,可扩展固件接口,,,,,
extensible markup language,可延伸標示語言,可扩展置标语言,,,,,
extension name,副檔名,扩展名,,,,,
extension,,扩展,,,,扩展,扩展
extension A,擴充A區,扩展A区,擴充A區,,擴充A區,扩展A区,扩展A区
extension B,擴充B區,扩展B区,擴充B區,,擴充B區,扩展B区,扩展B区
extension C,擴充C區,扩展C区,擴充C區,,擴充C區,扩展C区,扩展C区
extension D,擴充D區,扩展D区,擴充D區,,擴充D區,扩展D区,扩展D区
extension E,擴充E區,扩展E区,擴充E區,,擴充E區,扩展E区,扩展E区
extension F,擴充F區,扩展F区,擴充F區,,擴充F區,扩展F区,扩展F区
extension G,擴充G區,扩展G区,擴充G區,,擴充G區,扩展G区,扩展G区
external hard drive,外接硬碟,外置硬盘,,,,,
external link,外部連結,,外部連結,,外部連結,,
enterprise mobility management,企業行動管理,企业移动管理,,,,,
Facebook,臉書,脸谱,Facebook,,Facebook,脸书,面簿
facial recognition,臉部辨識,人脸识别,人面辨識,,人面辨識,,
fairchild semiconductor,快捷半導體,飞兆半导体,,,,,
feature phone,功能型手機,功能手机,功能電話,,,,
feedback,回饋,反馈,反饋,,,,
fiber distributed data interface,光纖分散式資料介面,光纤分布式数据接口,光纖分散式數據介面,,,,
field,欄位,字段,,,,,
fifth normal form,第五規格化,第五范式,,,,,
file,檔案,文件,,,,文件,文件
File namespace,檔案命名空間,文件名字空间,,,,,
filename,檔案名字,文件名字,檔案名稱,,檔案名稱,,
filename extension,副檔名,扩展名,,,,,
film streaming,影片串流,影片流,,,,,
find,尋找,查找,,,,,
firmware,韌體,固件,,,,,
first normal form,第一規格化,第一范式,,,,,
flash memory,快閃記憶體,闪存,,,,,
flight mode,飛航模式,飞行模式,,,,,
floppy disk,軟碟,软盘,,,,,
floppy disk drive,軟碟機,软盘驱动器,,,,,
folder,資料夾,文件夹,,,,,
font,字型,字体,,,,,
footer,頁尾,页脚,,,,,
footnote,章節附註,尾注,,,,,
foreign key,外來鍵,外键,,,,,
form,表單,窗体,,,,,
forward chaining,正向鏈結,前向链接,,,,,
forward error correction,正向錯誤校正,前向纠错,,,,,
fourth normal form,第四規格化,第四范式,,,,,
frame,影格,帧,幀,,幀,帧,帧
frame rate,影格率,帧率,幀率,,幀率,帧率,帧率
frame pointer,影格指標,帧指针,框指標,,,,
frame synchronization,影格同步化,帧同步,框同步化,,,,
forum,論壇,论坛,討論區,,,,
full screen,全螢幕,全屏,全屏幕,,全屏幕,,
full-size smartphone,全螢幕手機,全面屏手机,全屏幕手機,,,,
fullwidth,全形,全角,,,,,
function,函式,函数,函數,,,,
functional programming,函式語言程式設計,函数式编程,,,,,
functional programming language,函式程式語言,函数编程语言,,,,函数编程语言,函数编程语言
full high definition (full HD),超高畫質,,,,,,
garbage,多餘的資料,,多餘的資料,,多餘的資料,,
gateway,閘道器,网关,,,,网关,网关
"Gateway, Inc.",桀威,捷威,,,,,
get,取得,获取,,,,,
gigabit ethernet,十億位元乙太網路,吉比特以太网,,,,,
Gigabyte,吉位元組,吉字节,,,,,
global,全域,全局,,,,,
Global System for Mobile Communications Association,全球行動通訊系統協會,全球移动通信系统协会,全球流動通訊系統協會,,,,
Google,Google,,Google,,Google,Google,Google
Google Cloud Messaging,Google雲端通訊,Google云消息传递,Google雲端通訊,,Google雲端通訊,,
Google Chrome Frame,Google Chrome內嵌瀏覽框,谷歌浏览器内嵌框架,,,,,
Google Docs,Google 文件,Google 文档,,,,,
Google Toolbar,Google 工具列,Google 工具条,,,,,
Google Video,Google 影片,Google 视频,,,,,
graphics,圖學,图形学,圖學,,圖學,图形学,图形学
graphics processing unit,圖形處理器,图形处理器,,,,,
graphing calculator,繪圖計算機,图形计算器,,,,,
greedy algorithm,貪婪法,贪心法,貪婪法,,貪婪法,贪心算法,贪心算法
gridlines,格線,网格线,,,,,
group,群組,组群,,,,,
group notice,群組提示,组提示,,,,,
GSM mobile,GSM行動,GSM移动,GSM流動,,,,
GUI,圖形化使用者介面,图形用户界面,,,,,
GUID Partition Table,GUID磁碟分割表,全局唯一标识分区表,,,,,
hacker,駭客,黑客,黑客,,,,
halfwidth,半形,半角,,,,,
handler,處理常式,处理函数,,,,,
handle,控制代碼,句柄,,,,,
hard disk,硬碟,硬盘,,,,,
hard disk drive (HDD),硬碟機,硬盘驱动器,,,,,
hard-coded,寫死,硬编码,,,,,
hardware,硬體,硬件,硬件,,,,
hash,雜湊,散列,雜湊,,雜湊,,
HDMI,高畫質多媒體介面,高清多媒体界面,高清多媒體介面,,,,
head crash,磁頭損壞,磁头划碰,,,,,
header,頁首,页眉,,,,,
header file,標頭檔,头文件,,,,头文件,头文件
heapsort,堆積排序,堆排序,,,,,
hearts,傷心小棧,红心大战,,,,,
Help and Support,說明與支援,帮助与支持,,,,,
help document,說明文件,帮助文档,,,,,
Hierarchical View,多層次樹狀介面,分层树形视图,,,,,
hierarchy,階層,层次结构,,,,,
high definition (HD),高解析,高清晰,高清晰,,,,
high fidelity (Hi-Fi),,高保真,高傳真,,高傳真,高保真,高保真
high-resolution audio,高音質音訊,高清音频,高清音頻,,,,
high-resolution sound quality,高音質,高清音质,高清音質,,,,
high-level language,高階語言,高级语言,高階語言,,高階語言,高级语言,高级语言
high-level programming language,高階程式語言,高级编程语言,高階程式語言,,高階程式語言,,
high-level/high-end/highend,高階,高端,高階,,高階,高端,高端
highlight,突出顯示,,突出顯示,,突出顯示,,
holographic,全像,全息,,,,,
home,,家庭,,,,家庭,家庭
home address,,家庭地址,,,,家庭地址,家庭地址
hosting,代管,托管,寄存,,寄存,,
hook,勾點,钩子,,,,,
HyperText Markup Language,超文件標示語言,超文本置标语言,,,,,
icon,圖示,图标,,,,,
Integrated Development Environment (IDE),整合式開發環境,集成开发环境,,,,,
Integrated Device Electronics (IDE),整合裝置電路,集成设备电路,,,,,
ID,身分,身份,身份,,,,
identifier,識別碼,标识符,,,,,
if and only if,若且唯若,当且仅当,,,,,
image,,镜像,,,,镜像,镜像
image file,圖檔,图像文件,,,,,
image macro,梗圖,表情包,,,,,
imperative programming,指令式程式設計,命令式编程,,,,,
implement,,实现,,,,实现,实现
import,匯入,导入,匯入,,匯入,导入,导入
Incognito mode,無痕模式,隐身模式,,,,,
indent,縮排,缩进,,,,,
info (information),資訊,信息,,,,,
information age,資訊時代,信息时代,資訊年代,,,,
Information and Communication Technology,資訊及通訊科技,信息及通信技术,,,,,
Information Engagement,資訊參與,信息接触,,,,,
Information industry,資訊工業,信息产业,,,,,
Information Management,資訊管理,信息管理,,,,,
Information overload,資訊超載,信息过载,,,,,
Information Science,資訊學,信息学,資訊科學,,,,
information security,資訊安全,信息安全,,,,信息安全,信息安全
Information Technology,資訊科技,信息技术,,,,,
injection,,注入,,,,注入,注入
inline,行內,内联,,,,,
Intranet,內部網路,内部网,內聯網,,,,
installation package,安裝套件,安装包,,,,,
instance method,,实例方法,,,,实例方法,实例方法
integrate,整合,集成,,,,,
integrated circuit,積體電路,集成电路,集成電路,,,,
intellectual property,智慧財產權,知识产权,知識產權,,,,
intellectualize,智慧化,智能化,智能化,,,,
intelligence,智慧型,,,,,智慧型,智慧型
interacts,互動,交互,,,,,
interactive entertainment,,互动娱乐,,,,互动娱乐,互动娱乐
interface,介面,接口,,,,,
interface (frontstage),介面,,介面,,介面,,
internal link,內部連結,,內部連結,,內部連結,,
Internet,網際網路,互联网,互聯網,,互聯網,,
Internet bar,網咖,网吧,網吧,,,,
Internet culture,網路文化,,,,,,
Internet forum,網路論壇,,,,,,
Internet Content Provider (ICP),線上內容提供者,互联网内容提供商,互聯網內容供應商,,,,
Internet Service Provider (ISP),網際網路服務提供者,互联网服务提供商,互聯網服務供應商,,,,
interpreter,直譯器,解释器,,,,,
Interpreted language,直譯語言,解释型语言,,,,,
Internet Key Exchange,網際網路金鑰交換,因特网密钥交换,互聯網金鑰交換,,,,
Inter-Process Communication,行程間通訊,进程间通信,行程間通訊,,,,
Inter-Process,行程間,进程间,行程間,,,,
invoke,,调用,,,,调用,调用
Jelly Bean,雷根糖,果冻豆,啫喱豆,,,,
judge,解題系統,评测系统,,,,,
kernel,核心,,,,,,
key,金鑰,密钥,,,,,
keyboard layout,鍵盤配置,键盘布局,,,,,
keygen,序號產生器,注册机,,,,,
landscape,橫螢幕,横屏幕,橫熒幕,,橫熒幕,,
Language-Oriented Programming,語言導向程式設計,面向语言的程序设计,,,,,
language package,語言套件,语言包,,,,,
laptop/notebook computer,筆記型電腦,笔记本电脑,手提電腦,,手提電腦,笔记本电脑,笔记本电脑
laser,雷射,激光,激光,,,,镭射
LaserDisc,雷射影碟,激光视盘,鐳射影碟,,,,
launch bar,啟動列,启动栏,,,,,
library,,库,,,,库,库
link,鏈結,链接,連結,,連結,链接,链接
linked list,連結串列,链表,連結串列,,連結串列,,
livelock,活結,活锁,,,,,
load,載入,加载,載入,,載入,加载,加载
Local Area Network,區域網路,局域网,區域網絡,,,,
localization,在地化,本地化,本地化,,,,
log,紀錄檔,日志,,,,,
log in,,登录,登錄,,登錄,登录,登录
